"taxon","bri_dz","p_code"
"Actiniaria","mid",NA
"Akanthophoreus cf gracilis","deep",NA
"Amaeana sp","mid",NA
"Ampelisca sp","deep",NA
"Ampelisca sp","mid",NA
"Ampelisca sp","out_of_range",NA
"Ampharetidae","mid",NA
"Amphipoda","deep",NA
"Amphipoda","mid",NA
"Amphipoda","out_of_range",NA
"Ascidiacea","deep",NA
"Bivalvia","deep",NA
"Bivalvia","mid",NA
"Boccardia proboscidea","mid",NA
"Bradabyssa pilosa","mid",NA
"Bruzelia tuberculata","deep",NA
"Byblis sp","mid",NA
"Cadulus californicus","deep",NA
"Caprella mendax","deep",NA
"Caprella mendax","mid",NA
"Cephalaspidea","mid",NA
"Cerebratulus californiensis","mid",NA
"Cirratulidae","deep",NA
"Cirratulidae","mid",NA
"Cylindroleberididae","mid",NA
"Decapoda","deep",NA
"Diopatra sp","mid",NA
"Echinoidea","deep",NA
"Euclymeninae","deep",NA
"Euclymeninae","mid",NA
"Euclymeninae sp A","deep",NA
"Euclymeninae sp A","mid",NA
"Euclymeninae sp B","mid",NA
"Eudorella truncatula","deep",NA
"Eudorella truncatula","mid",NA
"Glyphanostomum pallescens","mid",NA
"Gnathiidae","deep",NA
"Halcampa decemtentaculata","mid",NA
"Harbansus sp SD1","mid",NA
"Hemipodia simplex","deep",NA
"Keenaea centifilosa","mid",NA
"Laonice sp","deep",NA
"Laonice sp","mid",NA
"Leucon magnadentatus","deep",NA
"Lineus bilineatus","deep",NA
"Lumbrineridae","mid",NA
"Lyonsia sp","mid",NA
"Macoma sp","mid",NA
"Maldanidae","deep",NA
"Maldanidae","mid",NA
"Malmgreniella sp A","deep",NA
"Nemertea","mid",NA
"Nephasoma sp","deep",NA
"Nephasoma sp","mid",NA
"Nephtyidae","mid",NA
"NoOrganismsPresent","mid",NA
"Oedicerotidae","deep",NA
"Oedicerotidae","mid",NA
"Oligochaeta","deep",NA
"Oligochaeta","mid",NA
"Onuphidae","deep",NA
"Onuphis sp HYP2","deep",NA
"Onuphis sp HYP2","mid",NA
"Ophiuroidea","deep",NA
"Ophiuroidea","mid",NA
"Pandora sp","mid",NA
"Pentamera pediparva","deep",NA
"Pentamera populifera","deep",NA
"Periploma planiusculum","mid",NA
"Phascolion sp A","deep",NA
"Phascolion sp A","mid",NA
"Philine auriformis","mid",NA
"Philine sp","mid",NA
"Pista elongata","mid",NA
"Pista sp","mid",NA
"Pleurogonium sp A","mid",NA
"Podocopa","deep",NA
"Poecilochaetus sp","mid",NA
"Prionospio sp","deep",NA
"Prionospio sp","mid",NA
"Rathbunixa occidentalis Cmplx","mid",NA
"Rhepoxynius daboius","deep",NA
"Rhepoxynius sp","mid",NA
"Sabellidae","deep",NA
"Scleroplax schmitti","mid",NA
"Spatangoida","deep",NA
"Spatangoida","out_of_range",NA
"Spionidae","mid",NA
"Stylatula sp","mid",NA
"Tanaella propinquus","deep",NA
"Tanaella propinquus","mid",NA
"Tanaopsis cadieni","deep",NA
"Terebellidae","deep",NA
"Terebellidae","mid",NA
"Terebellinae","mid",NA
"Travisia pupa","mid",NA
"Travisia pupa","deep",NA
"Tritella tenuissima","deep",NA
"Tritella tenuissima","out_of_range",NA
"Tubulanidae","deep",NA
"Tubulanidae","mid",NA
"Virgularia agassizii","mid",NA
"Virgulariidae","mid",NA
